| PID    | Parent | Name                                       | State         | Memory    | # Threads | Open Files |
|--------|--------|--------------------------------------------|-------------|-------------|------------|------------|

| 	14159 | 	14158 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14220 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	14221 | 	14220 | 	a.out                                   | 	T         | 0.9      M | 	1        | 3         |
| 	14251 | 	26666 | 	opera_autoupdat                         | 	Z         | 0.0      M | 	1        | 0         |
| 	14258 | 	12122 | 	sudo                                    | 	T         | 4.2      M | 	1        | 75        |
| 	14259 | 	14258 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14322 | 	12122 | 	sudo                                    | 	T         | 4.5      M | 	1        | 75        |
| 	14323 | 	14322 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14367 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	14368 | 	14367 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14373 | 	2     | 	kworker/2:2                             | 	I         | 0.0      M | 	1        | 0         |
| 	14416 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	14417 | 	14416 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14455 | 	12122 | 	sudo                                    | 	T         | 4.3      M | 	1        | 75        |
| 	14456 | 	14455 | 	a.out                                   | 	T         | 0.7      M | 	1        | 3         |
| 	14493 | 	12122 | 	sudo                                    | 	T         | 4.5      M | 	1        | 75        |
| 	14494 | 	14493 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14529 | 	12122 | 	sudo                                    | 	T         | 4.3      M | 	1        | 75        |
| 	14530 | 	14529 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	14556 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	14557 | 	14556 | 	a.out                                   | 	T         | 0.7      M | 	1        | 3         |
| 	14598 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	14599 | 	14598 | 	a.out                                   | 	T         | 0.7      M | 	1        | 3         |
| 	14643 | 	12122 | 	sudo                                    | 	T         | 4.2      M | 	1        | 75        |
| 	14644 | 	14643 | 	a.out                                   | 	T         | 0.7      M | 	1        | 3         |
| 	14952 | 	1022  | 	dhclient                                | 	S         | 6.1      M | 	1        | 7         |
| 	15418 | 	2     | 	kworker/0:2                             | 	D         | 0.0      M | 	1        | 0         |
| 	15534 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	15535 | 	15534 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	15576 | 	2     | 	kworker/2:0                             | 	I         | 0.0      M | 	1        | 0         |
| 	15583 | 	1     | 	snap                                    | 	S         | 1.3      M | 	8        | 6         |
| 	15622 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	15623 | 	15622 | 	a.out                                   | 	T         | 0.7      M | 	1        | 3         |
| 	15629 | 	26683 | 	opera                                   | 	S         | 205.6    M | 	19       | 55        |
| 	15719 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	15720 | 	15719 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	15734 | 	12122 | 	sudo                                    | 	T         | 4.3      M | 	1        | 75        |
| 	15735 | 	15734 | 	a.out                                   | 	T         | 0.9      M | 	1        | 3         |
| 	15741 | 	2     | 	kworker/1:1                             | 	I         | 0.0      M | 	1        | 0         |
| 	15759 | 	2     | 	kworker/3:2                             | 	I         | 0.0      M | 	1        | 0         |
| 	15765 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	15766 | 	15765 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	15794 | 	2     | 	kworker/2:3                             | 	I         | 0.0      M | 	1        | 0         |
| 	15860 | 	12122 | 	sudo                                    | 	T         | 4.3      M | 	1        | 75        |
| 	15861 | 	15860 | 	a.out                                   | 	T         | 0.9      M | 	1        | 3         |
| 	15880 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	15881 | 	15880 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	15902 | 	2     | 	kworker/0:0                             | 	I         | 0.0      M | 	1        | 0         |
| 	15921 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	15922 | 	15921 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	16090 | 	12122 | 	sudo                                    | 	T         | 4.4      M | 	1        | 75        |
| 	16091 | 	16090 | 	a.out                                   | 	T         | 0.9      M | 	1        | 3         |
| 	16252 | 	2     | 	kworker/1:2                             | 	I         | 0.0      M | 	1        | 0         |
| 	16327 | 	2     | 	kworker/3:1                             | 	I         | 0.0      M | 	1        | 0         |
| 	16407 | 	12122 | 	sudo                                    | 	T         | 4.3      M | 	1        | 75        |
| 	16408 | 	16407 | 	a.out                                   | 	T         | 0.8      M | 	1        | 3         |
| 	16441 | 	2     | 	kworker/0:1                             | 	I         | 0.0      M | 	1        | 0         |
| 	16495 | 	2     | 	kworker/2:1                             | 	I         | 0.0      M | 	1        | 0         |
| 	16525 | 	2     | 	kworker/u8:0                            | 	I         | 0.0      M | 	1        | 0         |
| 	16551 | 	12122 | 	sudo                                    | 	S         | 4.4      M | 	1        | 74        |
| 	16552 | 	16551 | 	a.out                                   | 	R         | 0.8      M | 	1        | 5         |
| 	17510 | 	2277  | 	code                                    | 	S         | 36.7     M | 	26       | 71        |
| 	17513 | 	17510 | 	code                                    | 	S         | 10.4     M | 	1        | 15        |
| 	17550 | 	17510 | 	code                                    | 	S         | 17.7     M | 	9        | 27        |
| 	18567 | 	1     | 	cupsd                                   | 	S         | 13.9     M | 	1        | 17        |
| 	18568 | 	1     | 	cups-browsed                            | 	S         | 13.8     M | 	3        | 11        |
| 	19440 | 	18567 | 	dbus                                    | 	S         | 6.1      M | 	1        | 6         |
| 	20427 | 	26666 | 	opera_autoupdat                         | 	Z         | 0.0      M | 	1        | 0         |
| 	23758 | 	2277  | 	konsole                                 | 	S         | 58.6     M | 	4        | 22        |
| 	23764 | 	23758 | 	bash                                    | 	S         | 5.4      M | 	1        | 4         |
| 	25344 | 	26666 | 	opera_autoupdat                         | 	Z         | 0.0      M | 	1        | 0         |
| 	25375 | 	26683 | 	opera                                   | 	S         | 120.2    M | 	12       | 46        |
| 	25651 | 	26683 | 	opera                                   | 	S         | 137.7    M | 	12       | 44        |
| 	26336 | 	26683 | 	opera                                   | 	S         | 152.1    M | 	12       | 52        |
| 	26666 | 	2277  | 	opera                                   | 	S         | 353.4    M | 	33       | 294       |
| 	26681 | 	26666 | 	opera                                   | 	S         | 29.9     M | 	1        | 16        |
| 	26683 | 	26681 | 	opera                                   | 	S         | 8.3      M | 	1        | 17        |
| 	26704 | 	26666 | 	opera                                   | 	S         | 183.1    M | 	7        | 134       |
| 	26759 | 	26683 | 	opera                                   | 	S         | 89.6     M | 	12       | 35        |
| 	26807 | 	26683 | 	opera                                   | 	S         | 170.1    M | 	14       | 51        |
| 	26820 | 	26683 | 	opera                                   | 	S         | 237.8    M | 	11       | 46        |
| 	26931 | 	26683 | 	opera                                   | 	S         | 74.5     M | 	11       | 35        |
